fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammdurchm,longitude,latitude
"1468","2673","20","Quercus robur, Stieleiche",Liegenschaftsservice,13,,Bäume - Liegenschaftsservice,"89",11.6244280828,52.1306362526
"27614","34","20","Quercus robur, Stieleiche",Liegenschaftsservice,18,"1930",Bäume - Liegenschaftsservice,"61",11.6222234066,52.1435822598
"29929",,"18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"45",11.6081123309,52.1215941196
"41622","1537","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"40",11.5887676762,52.0990182631
"41623","1538","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"37",11.5889125822,52.0990166080
"41624","1539","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"40",11.5890573839,52.0990181925
"41625","1540","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.5891914146,52.0990153371
"41626","1541","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"37",11.5893541598,52.0990115807
"41627","1542","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.5894989981,52.0990087573
"41628","1543","9","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"54",11.5895457024,52.0990184325
"41629","1544","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"27",11.5896609359,52.0990061873
"41630","1545","12","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"40",11.5897823246,52.0990245629
"41631","1546","16","Betula pendula ""Tristis"", Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"48",11.5899364340,52.0990254921
"41632","1547","16","Betula pendula ""Tristis"", Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"32",11.5900309633,52.0990213457
"41633","1549","10","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"81",11.5902554394,52.0990270227
"41634","1550","17","Betula pendula ""Tristis"", Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"43",11.5902953574,52.0990279438
"41635","1551","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"39",11.5903898817,52.0990136351
"41636","1552","20","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"83",11.5904877748,52.0990498831
"41637","1553","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"42",11.5905147504,52.0990164654
"41638","1554","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"83",11.5906261963,52.0990446813
"41639","1555","12","Ailanthus altissima, Götterbaum",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"63",11.5906303845,52.0990136531
"41640","1556","13","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"50",11.5906792136,52.0990473826
"41641","1557","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"28",11.5906979070,52.0990474212
"41642","1558","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"53",11.5907257516,52.0990491472
"41643","1559","10","Ailanthus altissima, Götterbaum",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"40",11.5907407944,52.0990164414
"41644","1560","8","Betula pendula, Sandbirke",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"16",11.5907369089,52.0990098720
"41645","1561","16","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"40",11.5907563256,52.0990475756
"41646","1562","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"47",11.5908096399,52.0990478421
"41647","1563","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"49",11.5908308177,52.0990479160
"41648","1564","22","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"67",11.5908495111,52.0990479546
"41649","1565","8","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"33",11.5909269466,52.0989983188
"41650","1566","15","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,14,,Bäume - Liegenschaftsservice,"154",11.5910807689,52.0990446677
"41651","1567","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"38",11.5912710828,52.0990051396
"41652","1568","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"42",11.5914002120,52.0989958245
"41653","1569","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.5915358571,52.0989880747
"41654","1570","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"34",11.5916780752,52.0989803600
"45358","845","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"28",11.5971888129,52.0856641008
"45359","826","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"32",11.5971726188,52.0856592418
"45360","846","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"31",11.5971577849,52.0856652345
"45361","834","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"28",11.5971479747,52.0856622132
"45362","835","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"28",11.5971339892,52.0856652195
"45363","836","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"65",11.5969837996,52.0856606165
"45364","837","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"25",11.5969059457,52.0856623327
"45365","838","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"24",11.5968935949,52.0856633244
"45366","839","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"30",11.5968608272,52.0856596401
"45367","840","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"46",11.5968049096,52.0856570057
"45368","841","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"21",11.5967622754,52.0856593843
"45369","842","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"22",11.5966661967,52.0856564660
"45370","843","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"57",11.5966474518,52.0856579583
"45371","844","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"27",11.5966105138,52.0856578732
"60419","1","7","Prunus avium, Vogelkirsche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"83",11.5471922506,52.0819224122
"60611","2","7","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"61",11.5470807242,52.0817480211
"60612","3","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"73",11.5469221814,52.0816169135
"60613","4","8","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"80",11.5467134662,52.0814275365
"60614","5","4","Malus spec., Apfel",Liegenschaftsservice,2.5,,Bäume - Liegenschaftsservice,"16",11.5466456374,52.0813693792
"60615","6","5","Malus spec., Apfel",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.5465835866,52.0813075896
"60616","7","4","Malus spec., Apfel",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.5465214207,52.0812617202
"60617","8","4","Prunus avium, Vogelkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"15",11.5464621606,52.0812053560
"60618","9","5","Prunus avium, Vogelkirsche",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"83",11.5463518990,52.0811171798
"60619","10","12","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"80",11.5462357195,52.0810429806
"60620","11","10","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"83",11.5461203673,52.0809038340
"60621","12","11","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"80",11.5458492489,52.0806694003
"60622","14","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"204",11.5453945570,52.0802690548
"60623","15","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"80",11.5453239568,52.0802108667
"60624","16","4","Prunus avium, Vogelkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"59",11.5451432210,52.0800486708
"60625","17","11","Prunus avium, Vogelkirsche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"65",11.5450159167,52.0799481815
"60626","18","4","Prunus avium, Vogelkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"76",11.5446855489,52.0796624161
"60627","19","17","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"76",11.5757843355,52.0887687301
"60628","20","18","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"102",11.5759892242,52.0887369115
"60630","23","7","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"26",11.5806627904,52.0851580046
"60637","24","15","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.5806926153,52.0851385558
"60638","25","15","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"41",11.5807404590,52.0851277952
"60639","26","15","Betula pendula, Sandbirke",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"21",11.5807915102,52.0851169644
"60640","27","4","Salix ""Tortuosa"", Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"34",11.5811208282,52.0850434708
"60641","30","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"57",11.5873826893,52.0969661644
"60642","31","25","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"54",11.5874188648,52.0969781401
"60643","32","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"48",11.5874967051,52.0970061078
"60644","33","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"54",11.5875226779,52.0970158794
"60645","36","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"53",11.5876195161,52.0970668116
"60646","37","17","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"115",11.5876796033,52.0970756541
"60648","39","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"96",11.5877853591,52.0971191959
"60649","40","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"70",11.5877971646,52.0971389911
"60650","41","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"30",11.5878351380,52.0971416644
"60651","42","25","Robinia pseudoacacia, Robinie",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"99",11.5878571061,52.0971478367
"60652","43","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"62",11.5878950523,52.0971651692
"60653","44","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"37",11.5879610506,52.0971802668
"60654","45","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"64",11.5879809150,52.0971803700
"60655","46","25","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"49",11.5880170497,52.0971865909
"60657","49","9","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"30",11.5881384704,52.0972585661
"60660","52","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"35",11.5882365316,52.0972700814
"60661","53","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"49",11.5882765304,52.0972825124
"60662","54","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"51",11.5882944099,52.0972912026
"60663","55","8","Juglans regia, Walnuss",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"62",11.5839360255,52.0956541770
"60664","63","10","Sorbus aucuparia, Eberesche (Vogelbeere)",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"11",11.5979986524,52.1010461695
"60669","65","15","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"26",11.6019760787,52.0947383374
"60670","66","14","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"26",11.6019664085,52.0946976324
"60671","67","7","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"48",11.6017522831,52.0946787993
"60672","68","9","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"19",11.6011555017,52.0947835261
"60673","69","7","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"43",11.6010065559,52.0946979628
"60674","70","11","Salix ""Tortuosa"", Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"25",11.6004950274,52.0941449388
"60675","71","6","Juglans regia, Walnuss",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"22",11.6004726459,52.0940237564
"60676","72","7","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"26",11.6007766615,52.0938385330
"60677","73","14","Juglans regia, Walnuss",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"37",11.6011794027,52.0934204566
"60678","78","7","Carpinus betulus, Hainbuche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"21",11.5675647414,52.1169951102
"60679","79","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"76",11.5675831473,52.1172314048
"60681","82","10","Juglans regia, Walnuss",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"67",11.5676526023,52.1194074551
"60682","83","6","Prunus cerasus, Sauerkirche/Weichsel",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"36",11.5676765073,52.1201484064
"60683","84","7","Prunus cerasus, Sauerkirche/Weichsel",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"75",11.5676808201,52.1204749379
"60684","85","17","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"64",11.5742625221,52.1178626789
"60685","86","16","Salix ""Tortuosa"", Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"84",11.5740795050,52.1178226110
"60686","87","15","Salix ""Tortuosa"", Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"49",11.5740187484,52.1178076608
"60688","89","19","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"44",11.5738898182,52.1178797230
"60689","90","18","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"48",11.5739677325,52.1179946605
"60690","91","10","Prunus avium, Vogelkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"96",11.5738901686,52.1179998619
"60691","92","12","Taxus baccata, Gemeine Eibe",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"48",11.5745103413,52.1229315671
"60692","93","22","Picea spec., Fichte",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"30",11.5745107366,52.1228902806
"60693","94","22","Picea spec., Fichte",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"40",11.5744911687,52.1228600419
"60694","95","14","Pinus nigra, Schwarzkiefer",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"42",11.5745617721,52.1226706357
"60695","96","16","Pinus spec., Kiefer",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"34",11.5745328390,52.1226705484
"60699","97","9","Picea pungens 'Glauca', Blau-Fichte",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.5605386023,52.1225947651
"60700","99","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"24",11.5605497205,52.1224752767
"60701","100","7","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"12",11.5605399009,52.1224620006
"60702","101","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"42",11.5605355368,52.1224113750
"60705","104","10","Juglans regia, Walnuss",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"54",11.5602752341,52.1220962509
"60706","105","10","Salix ""Tortuosa"", Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"59",11.5603105376,52.1221998025
"60708","107","9","Salix ""Tortuosa"", Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"20",11.5603162941,52.1224556175
"60709","109","11","Tilia cordata, Winterlinde",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"57",11.5662076681,52.1280460248
"60710","110","11","Tilia cordata, Winterlinde",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"19",11.5661593275,52.1279981556
"60711","111","15","Acer negundo, Eschenahorn",Liegenschaftsservice,12,,Bäume - Liegenschaftsservice,"86",11.5660830899,52.1281080910
"60897","121","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"20",11.5763792576,52.1128303340
"60898","122","8","Juglans regia, Walnuss",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"42",11.5767286372,52.1125920238
"60899","123","6","Juglans regia, Walnuss",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"18",11.5769952769,52.1122209864
"60900","124","12","Juglans regia, Walnuss",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"64",11.5771067679,52.1122520921
"60901","126","21","Populus nigra ""Italica"", Italienische Pyramiden-Pappel",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"57",11.5771832960,52.1144518189
"60902","127","19","Populus nigra ""Italica"", Italienische Pyramiden-Pappel",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"127",11.5772022078,52.1144403439
"60903","128","15","Populus nigra ""Italica"", Italienische Pyramiden-Pappel",Liegenschaftsservice,1.5,,Bäume - Liegenschaftsservice,"24",11.5772116411,52.1144316842
"60904","129","9","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"42",11.5776351584,52.1144274569
"60905","130","7","Juglans regia, Walnuss",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"29",11.5779087619,52.1143415238
"60906","131","8","Juglans regia, Walnuss",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"43",11.5779043763,52.1143009713
"60907","132","8","Juglans regia, Walnuss",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"37",11.5782600374,52.1140803254
"60908","133","23","Populus nigra ""Italica"", Italienische Pyramiden-Pappel",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"121",11.5789348989,52.1137717558
"60909","134","9","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"20",11.5788122164,52.1138176072
"60910","135","14","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"89",11.5782189837,52.1138676395
"60911","136","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"57",11.5779929675,52.1138871530
"60912","137","14","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"48",11.5778869233,52.1140998196
"60913","138","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"49",11.5779575388,52.1141337972
"60914","142","7","Juglans regia, Walnuss",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.5778200299,52.1141834791
"60915","143","8","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"17",11.5868614064,52.1133286724
"60916","144","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"57",11.5868544349,52.1133318831
"60917","145","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"19",11.5868482139,52.1133329190
"60918","146","15","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"30",11.5868307128,52.1133333931
"60919","147","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"22",11.5868209643,52.1133365748
"60920","148","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.5868104610,52.1133317693
"60921","149","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"19",11.5867902243,52.1133354510
"60922","151","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"19",11.5867481883,52.1133385321
"60923","152","12","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"19",11.5867447123,52.1133466122
"60924","153","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"22",11.5866998782,52.1133518232
"60925","154","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"24",11.5866850402,52.1133453142
"60926","155","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"19",11.5866524392,52.1133549329
"60927","157","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"43",11.5864314055,52.1133746231
"60928","159","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"22",11.5860530948,52.1134126931
"60929","160","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"24",11.5860469717,52.1134229896
"60930","161","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"17",11.5860196604,52.1134180133
"60931","162","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"13",11.5859705480,52.1134275445
"60932","163","12","Populus tremula, Zitterpappel",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"21",11.5859450322,52.1134409645
"60933","164","13","Populus tremula, Zitterpappel",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"25",11.5859380522,52.1134263691
"60934","165","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"29",11.5859082540,52.1134364657
"60937","178","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"19",11.5854892813,52.1134786636
"60939","180","20","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"74",11.5854034367,52.1134895402
"60940","181","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"22",11.5853742121,52.1134944081
"60941","182","18","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"59",11.5853702068,52.1134832547
"60942","183","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"24",11.5853096423,52.1134917779
"60943","184","18","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"46",11.5852218231,52.1135013486
"60944","185","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"46",11.5851479869,52.1135203250
"60945","186","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"97",11.5850541200,52.1135187871
"60947","188","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"26",11.5850298246,52.1135204891
"60948","189","18","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"47",11.5849843129,52.1135240955
"60949","190","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"124",11.5848954409,52.1135356676
"60950","191","7","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"18",11.5848580313,52.1135379271
"60951","192","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"70",11.5848105811,52.1135433745
"60952","193","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"57",11.5847965345,52.1135429632
"60953","194","15","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"28",11.5847828319,52.1135409256
"60954","195","18","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"158",11.5847317755,52.1135522076
"60955","197","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"67",11.5846666564,52.1135653269
"60956","198","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"67",11.5846233708,52.1135594416
"60957","199","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"26",11.5845846935,52.1135726104
