fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammdurchm,longitude,latitude
"86019","4251","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"22",11.6554517042,52.1660354107
"86020","4252","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"24",11.6554527276,52.1660255852
"86021","4253","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"42",11.6554865378,52.1659474830
"86022","4254","17","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"29",11.6554749469,52.1659296680
"86023","4255","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"54",11.6554932298,52.1659297058
"86024","4256","15","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"21",11.6554869652,52.1658981913
"86025","4257","10","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"18",11.6554730348,52.1658681084
"86026","4258","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"20",11.6555091309,52.1658750294
"86027","4259","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"19",11.6555118620,52.1658594997
"86028","4260","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"80",11.6555044225,52.1658377242
"86029","4261","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"32",11.6548560846,52.1662202339
"86030","4262","15","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"24",11.6549546083,52.1661949028
"86031","4263","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"83",11.6549358782,52.1661357904
"86032","4264","6","Prunus padus, Traubenkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"75",11.6550387764,52.1660881479
"86033","4265","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"32",11.6548779415,52.1660298076
"86034","4266","10","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"27",11.6549093309,52.1659896210
"86035","4267","17","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"59",11.6549274085,52.1659813000
"86036","4268","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"52",11.6549373333,52.1659907890
"86037","4269","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"58",11.6550828884,52.1659423656
"86038","4270","16","Tilia platyphyllos, Sommerlinde",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"57",11.6551251289,52.1659174027
"86039","4271","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"53",11.6549817055,52.1659009380
"86040","4272","18","Aesculus hippocastanum, Roßkastanie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"57",11.6550536191,52.1658781846
"86041","4273","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"100",11.6550972045,52.1658561592
"86042","4274","10","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"29",11.6549542813,52.1658603673
"86043","4275","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"30",11.6549897422,52.1658222473
"86044","4276","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"30",11.6551120416,52.1657836105
"86045","4277","13","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"32",11.6551805100,52.1658085980
"86046","4278","13","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"32",11.6551843775,52.1657925032
"86047","4279","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"26",11.6551935204,52.1657741313
"86048","4280","18","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"68",11.6552277485,52.1657104087
"86049","4281","15","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"40",11.6552676612,52.1656635550
"86050","4282","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"37",11.6549862668,52.1657859935
"86051","4283","16","Aesculus hippocastanum, Roßkastanie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"36",11.6550290759,52.1657681224
"86052","4284","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"19",11.6550778152,52.1657393260
"86053","4285","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"25",11.6550180294,52.1657373450
"86054","4286","14","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"34",11.6550085435,52.1657106693
"86055","4287","13","Robinia pseudoacacia, Robinie",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"26",11.6550192390,52.1656839887
"86056","4288","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.6550799049,52.1656639168
"86057","4289","16","Aesculus hippocastanum, Roßkastanie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"38",11.6550716259,52.1656280410
"86058","4290","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"76",11.6550284231,52.1656122868
"86059","4291","16","Aesculus hippocastanum, Roßkastanie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"42",11.6551729747,52.1655740481
"86060","4292","25","Populus nigra ""Italica"", Italienische Pyramiden-Pappel",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"70",11.6548555501,52.1655285874
"86061","4293","25","Populus nigra ""Italica"", Italienische Pyramiden-Pappel",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"82",11.6545819428,52.1655263851
"86062","4294","8","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.6545430681,52.1655096340
"86063","4295","14","Tilia platyphyllos, Sommerlinde",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"35",11.6544833144,52.1655008173
"86064","4296","8","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"16",11.6487781287,52.1824093105
"86065","4297","7","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.6488237326,52.1823840047
"86066","4298","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"16",11.6487621985,52.1823751350
"86067","4299","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.6488372104,52.1823449418
"86068","4300","9","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"78",11.6486991359,52.1823085641
"86069","4301","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"20",11.6487225300,52.1822861855
"86070","4302","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"27",11.6487812689,52.1822578867
"86071","4303","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"23",11.6487728416,52.1823080775
"86072","4304","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"58",11.6488656903,52.1823096787
"86073","4305","5","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"51",11.6489039938,52.1823190703
