fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"81618","3942","13","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,61,11.6703475479,52.1931391395
"81619","3943","14","Betula pendula, Sandbirke",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,53,11.6702302083,52.1931858628
"81620","3944","20","Betula pendula, Sandbirke",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,134,11.6701768738,52.1932042473
"81621","3945","17","Betula pendula, Sandbirke",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,99,11.6701631998,52.1931763187
"81622","3946","18","Betula pendula, Sandbirke",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,154,11.6701678699,52.1931614643
"81623","3947","18","Betula pendula, Sandbirke",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,256,11.6701645801,52.1931407647
"81624","3948","13","Betula pendula, Sandbirke",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,154,11.6701855999,52.1931301266
"81625","3949","11","Betula pendula, Sandbirke",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,,11.6701993714,52.1931401568
"81626","3950","12","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,214,11.6702039425,52.1931480571
"81627","3951","18","Betula pendula, Sandbirke",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,162,11.6702039295,52.1931551619
"81628","3952","5","Crataegus laevigata, Zweigriffeliger Weißdorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,70,11.6703572328,52.1929370254
"81629","3953","5","Crataegus laevigata, Zweigriffeliger Weißdorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,60,11.6703844316,52.1928610473
"81630","3954","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,58,11.6703168788,52.1928985495
"81631","3955","18","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,110,11.6709776299,52.1925651392
"81632","3956","18","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,110,11.6710042561,52.1925552732
"81633","3957","15","Pinus spec., Kiefer",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,90,11.6720058662,52.1922570324
"81637","3961","8","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,74,11.6386783470,52.0556362220
"81638","3962","23","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,400,11.6386704615,52.0556237183
"81639","3963","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,300,11.6386666534,52.0555888201
"81641","3965","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,150,11.6386621031,52.0554893674
"81642","3966","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,160,11.6386567686,52.0554780655
"81643","3967","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,220,11.6386567952,52.0554735683
"81644","3968","6","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,80,11.6386623984,52.0554523088
"81646","3970","7","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,58,11.6386753868,52.0554276462
"81647","3971","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,80,11.6386682115,52.0554073924
"81649","3973","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,218,11.6387147094,52.0553621941
"81651","3975","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,216,11.6387661824,52.0552974589
"81652","3976","9","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,66,11.6387357176,52.0552879792
"81653","3977","6","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,80,11.6387541334,52.0552687708
"81654","3978","14","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,174,11.6388191028,52.0551929414
"81655","3979","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,97,11.6388800070,52.0551718816
