fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"26069","34","20","Quercus robur, Stieleiche",Liegenschaftsservice,18,"1930",Bäume - Liegenschaftsservice,190,11.6222234066,52.1435822598
"28496",,"18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,141,11.6081304565,52.1215762719
"39946","1537","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,126,11.5887676762,52.0990182631
"39947","1538","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,116,11.5889125822,52.0990166080
"39948","1539","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,125,11.5890573839,52.0990181925
"39949","1540","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,117,11.5891914146,52.0990153371
"39950","1541","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,115,11.5893541598,52.0990115807
"39951","1542","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,115,11.5894989981,52.0990087573
"39952","1543","9","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,169,11.5895457024,52.0990184325
"39953","1544","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,84,11.5896609359,52.0990061873
"39954","1545","12","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,124,11.5897823246,52.0990245629
"39955","1549","10","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,253,11.5902554394,52.0990270227
"39956","1551","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,121,11.5903898817,52.0990136351
"39957","1552","20","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,261,11.5904877748,52.0990498831
"39958","1553","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,130,11.5905147504,52.0990164654
"39959","1554","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,259,11.5906261963,52.0990446813
"39960","1555","12","Ailanthus altissima, Götterbaum",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,198,11.5906303845,52.0990136531
"39961","1556","13","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,158,11.5906792136,52.0990473826
"39973","1546","16","Betula pendula 'Tristis', Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,151,11.5899364340,52.0990254921
"39974","1548","17","Salix alba 'Tristis', Trauerweide",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,323,11.5901185389,52.0990282337
"39975","1550","17","Betula pendula 'Tristis', Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,135,11.5902953574,52.0990279438
"39976","1557","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,86,11.5906979070,52.0990474212
"39977","1558","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,166,11.5907257516,52.0990491472
"39978","1559","10","Ailanthus altissima, Götterbaum",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,125,11.5907407944,52.0990164414
"39979","1560","8","Betula pendula, Sandbirke",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,50,11.5907369089,52.0990098720
"39980","1561","16","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,126,11.5907563256,52.0990475756
"39981","1562","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,148,11.5908096399,52.0990478421
"39982","1563","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,153,11.5908308177,52.0990479160
"39983","1564","22","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,210,11.5908495111,52.0990479546
"39984","1565","8","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,103,11.5909269466,52.0989983188
"39985","1566","15","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,14,,Bäume - Liegenschaftsservice,484,11.5910807689,52.0990446677
"39986","1567","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,118,11.5912710828,52.0990051396
"39987","1568","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,131,11.5914002120,52.0989958245
"39988","1569","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,117,11.5915358571,52.0989880747
"39989","1570","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,107,11.5916780752,52.0989803600
"43304","845","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,87,11.5971888129,52.0856641008
"43305","846","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,98,11.5971577849,52.0856652345
"43306","834","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,89,11.5971479747,52.0856622132
"43307","835","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,89,11.5971339892,52.0856652195
"43308","836","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,204,11.5969837996,52.0856606165
"43309","837","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,79,11.5969059457,52.0856623327
"43314","826","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,100,11.5971726188,52.0856592418
"43315","838","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,74,11.5968935949,52.0856633244
"43316","839","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,94,11.5968608272,52.0856596401
"43317","840","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,144,11.5968049096,52.0856570057
"43318","841","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,67,11.5967622754,52.0856593843
"43319","842","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,68,11.5966661967,52.0856564660
"43320","843","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,179,11.5966474518,52.0856579583
"43321","844","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,84,11.5966105138,52.0856578732
"56783","1","7","Prunus avium, Vogelkirsche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,260,11.5471922506,52.0819224122
"56973","2","7","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,192,11.5470807242,52.0817480211
"56974","3","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,230,11.5469221814,52.0816169135
"56975","4","8","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,250,11.5467134662,52.0814275365
"56976","5","4","Malus spec., Apfel",Liegenschaftsservice,2.5,,Bäume - Liegenschaftsservice,49,11.5466456374,52.0813693792
"56977","6","5","Malus spec., Apfel",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,50,11.5465835866,52.0813075896
"56978","7","4","Malus spec., Apfel",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,50,11.5465214207,52.0812617202
"56979","8","4","Prunus avium, Vogelkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,48,11.5464621606,52.0812053560
"56980","9","5","Prunus avium, Vogelkirsche",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,260,11.5463518990,52.0811171798
"56981","10","12","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,250,11.5462357195,52.0810429806
"56982","11","10","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,260,11.5461203673,52.0809038340
"56983","12","11","Prunus avium, Vogelkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,250,11.5458492489,52.0806694003
"56984","14","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,640,11.5453945570,52.0802690548
"56985","15","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,250,11.5453239568,52.0802108667
"56986","16","4","Prunus avium, Vogelkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,185,11.5451432210,52.0800486708
"56987","17","11","Prunus avium, Vogelkirsche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,204,11.5450159167,52.0799481815
"56988","18","4","Prunus avium, Vogelkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,240,11.5446855489,52.0796624161
"56989","19","17","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,240,11.5757843355,52.0887687301
"56990","20","18","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,320,11.5759892242,52.0887369115
"56991","23","7","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,82,11.5806627904,52.0851580046
"56992","24","15","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,115,11.5806926153,52.0851385558
"56993","25","15","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,128,11.5807404590,52.0851277952
"56994","26","15","Betula pendula, Sandbirke",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,65,11.5807915102,52.0851169644
"57000","27","4","Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,108,11.5811208282,52.0850434708
"57001","30","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,180,11.5873826893,52.0969661644
"57002","31","25","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,170,11.5874188648,52.0969781401
"57003","32","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,150,11.5874967051,52.0970061078
"57004","33","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,170,11.5875226779,52.0970158794
"57005","36","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,165,11.5876195161,52.0970668116
"57006","37","17","Robinia pseudoacacia, Robinie",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,360,11.5876796033,52.0970756541
"57008","39","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,300,11.5877853591,52.0971191959
"57009","40","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,220,11.5877971646,52.0971389911
"57010","41","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,95,11.5878351380,52.0971416644
"57011","42","25","Robinia pseudoacacia, Robinie",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,310,11.5878571061,52.0971478367
"57012","43","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,194,11.5878950523,52.0971651692
"57013","44","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,115,11.5879610506,52.0971802668
"57014","45","24","Robinia pseudoacacia, Robinie",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,200,11.5879809150,52.0971803700
"57015","46","25","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,155,11.5880170497,52.0971865909
"57017","49","9","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,95,11.5881384704,52.0972585661
"57020","52","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,110,11.5882365316,52.0972700814
"57021","53","16","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,155,11.5882765304,52.0972825124
"57022","54","18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,160,11.5882944099,52.0972912026
"57023","55","8","Juglans regia, Walnuss",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,195,11.5839360255,52.0956541770
"57033","65","15","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,80,11.6019760787,52.0947383374
"57034","66","14","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,80,11.6019664085,52.0946976324
"57035","67","7","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,150,11.6017522831,52.0946787993
"57036","68","9","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,60,11.6011555017,52.0947835261
"57037","69","7","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,135,11.6010065559,52.0946979628
"57038","71","6","Juglans regia, Walnuss",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,70,11.6004726459,52.0940237564
"57039","72","7","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,80,11.6007766615,52.0938385330
"57040","73","14","Juglans regia, Walnuss",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,115,11.6011794027,52.0934204566
"57041","78","7","Carpinus betulus, Hainbuche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,65,11.5675647414,52.1169951102
"57042","79","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,240,11.5675831473,52.1172314048
"57044","82","10","Juglans regia, Walnuss",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,210,11.5676526023,52.1194074551
"57045","85","17","Betula pendula, Sandbirke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,200,11.5742625221,52.1178626789
"57047","89","19","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,137,11.5738898182,52.1178797230
"57048","90","18","Picea abies, Gemeine Fichte - Rot-Fichte",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,150,11.5739677325,52.1179946605
"57049","91","10","Prunus avium, Vogelkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,300,11.5738901686,52.1179998619
"57050","92","12","Taxus baccata, Gemeine Eibe",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,150,11.5745103413,52.1229315671
"57051","93","22","Picea spec., Fichte",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,95,11.5745107366,52.1228902806
"57057","83","6","Prunus cerasus, Sauerkirsche - Weichsel",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,112,11.5676765073,52.1201484064
"57058","84","7","Prunus cerasus, Sauerkirsche - Weichsel",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,235,11.5676808201,52.1204749379
"57059","86","16","Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,264,11.5740795050,52.1178226110
"57061","94","22","Picea spec., Fichte",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,125,11.5744911687,52.1228600419
"57062","95","14","Pinus nigra, Schwarzkiefer",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,130,11.5745617721,52.1226706357
"57063","96","16","Pinus spec., Kiefer",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,105,11.5745328390,52.1226705484
"57064","97","9","Picea pungens 'Glauca', Blau-Fichte",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,50,11.5605386023,52.1225947651
"57065","99","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,75,11.5605497205,52.1224752767
"57066","100","7","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,36,11.5605399009,52.1224620006
"57067","101","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,133,11.5605355368,52.1224113750
"57068","104","10","Juglans regia, Walnuss",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,170,11.5602752341,52.1220962509
"57070","109","11","Tilia cordata, Winterlinde",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,180,11.5662076681,52.1280460248
"57071","110","11","Tilia cordata, Winterlinde",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,60,11.5661593275,52.1279981556
"57072","111","15","Acer negundo, Eschenahorn",Liegenschaftsservice,12,,Bäume - Liegenschaftsservice,270,11.5660830899,52.1281080910
"57085","105","10","Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,185,11.5603105376,52.1221998025
"57086","107","9","Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,63,11.5603162941,52.1224556175
"57279","120","17","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,13,,Bäume - Liegenschaftsservice,530,11.5764778786,52.1128473864
"57280","121","12","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,62,11.5763792576,52.1128303340
"57281","122","8","Juglans regia, Walnuss",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,130,11.5767286372,52.1125920238
"57282","123","6","Juglans regia, Walnuss",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,55,11.5769952769,52.1122209864
"57283","124","12","Juglans regia, Walnuss",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,200,11.5771067679,52.1122520921
"57284","129","9","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,132,11.5776351584,52.1144274569
"57285","130","7","Juglans regia, Walnuss",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,90,11.5779087619,52.1143415238
"57286","131","8","Juglans regia, Walnuss",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,135,11.5779043763,52.1143009713
"57287","132","8","Juglans regia, Walnuss",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,115,11.5782600374,52.1140803254
"57288","134","9","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,63,11.5788122164,52.1138176072
"57289","135","14","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,280,11.5782189837,52.1138676395
"57290","136","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,180,11.5779929675,52.1138871530
"57291","137","14","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,150,11.5778869233,52.1140998196
"57292","138","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,155,11.5779575388,52.1141337972
"57294","128","15","Populus nigra 'Italica', Italienische Pyramiden-Pappel",Liegenschaftsservice,1.5,,Bäume - Liegenschaftsservice,75,11.5772116411,52.1144316842
"57295","133","23","Populus nigra 'Italica', Italienische Pyramiden-Pappel",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,380,11.5789348989,52.1137717558
"57296","142","7","Juglans regia, Walnuss",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,49,11.5778200299,52.1141834791
"57297","143","8","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,53,11.5868614064,52.1133286724
"57298","144","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,180,11.5868544349,52.1133318831
"57299","145","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,60,11.5868482139,52.1133329190
"57300","146","15","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,95,11.5868307128,52.1133333931
"57301","147","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,70,11.5868209643,52.1133365748
"57302","148","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,50,11.5868104610,52.1133317693
"57303","149","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,60,11.5867902243,52.1133354510
"57304","151","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,58,11.5867481883,52.1133385321
"57305","152","12","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,60,11.5867447123,52.1133466122
"57306","153","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,70,11.5866998782,52.1133518232
"57307","154","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,74,11.5866850402,52.1133453142
"57308","155","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,60,11.5866524392,52.1133549329
"57309","157","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,136,11.5864314055,52.1133746231
"57310","159","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,70,11.5860530948,52.1134126931
"57311","160","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,75,11.5860469717,52.1134229896
"57312","161","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,53,11.5860196604,52.1134180133
"57313","162","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,41,11.5859705480,52.1134275445
"57314","163","12","Populus tremula, Zitterpappel",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,65,11.5859450322,52.1134409645
"57315","164","13","Populus tremula, Zitterpappel",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,78,11.5859380522,52.1134263691
"57316","165","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,92,11.5859082540,52.1134364657
"57319","178","11","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,60,11.5854892813,52.1134786636
"57321","180","20","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,232,11.5854034367,52.1134895402
"57322","181","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,69,11.5853742121,52.1134944081
"57323","182","18","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,185,11.5853702068,52.1134832547
"57325","183","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,74,11.5853096423,52.1134917779
"57326","184","18","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,145,11.5852218231,52.1135013486
"57327","185","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,145,11.5851479869,52.1135203250
"57328","186","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,304,11.5850541200,52.1135187871
"57329","188","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,80,11.5850298246,52.1135204891
"57330","189","18","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,148,11.5849843129,52.1135240955
"57331","190","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,390,11.5848954409,52.1135356676
"57332","191","7","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,57,11.5848580313,52.1135379271
"57333","192","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,220,11.5848105811,52.1135433745
"57334","193","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,180,11.5847965345,52.1135429632
"57335","194","15","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,88,11.5847828319,52.1135409256
"57336","195","18","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,495,11.5847317755,52.1135522076
"57337","197","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,210,11.5846666564,52.1135653269
"57338","198","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,210,11.5846233708,52.1135594416
"57339","199","13","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,80,11.5845846935,52.1135726104
"57340","200","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,122,11.5845430179,52.1135667797
"57341","201","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,80,11.5845105680,52.1135714484
"57342","202","16","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,90,11.5845011626,52.1135780397
"57343","203","15","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,74,11.5844626282,52.1135760071
"57344","211","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,120,11.5840822079,52.1136205919
"57345","212","17","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,110,11.5840559120,52.1136205391
"57346","213","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,0.5,,Bäume - Liegenschaftsservice,85,11.5840356697,52.1136241305
"57347","214","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,75,11.5840357544,52.1136154954
