fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
2970,  4715 - Lieg4715,"Quercus robur, Stieleiche",160,17,14,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6840889523574,52.0739046369547
2971,  4716 - Lieg4716,"Populus spec., Pappel",150,26,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6840240666218,52.0739275194426
2972,  4717 - Lieg4717,"Ulmus glabra, Bergulme",100,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6840336284972,52.0739628249094
2973,  4718 - Lieg4718,"Populus spec., Pappel",206,28,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6840235418893,52.0739965995836
2974,  4719 - Lieg4719,"Quercus robur, Stieleiche",68,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6840083822601,52.0740187986241
2975,  4720 - Lieg4720,"Populus spec., Pappel",142,8,1,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839933487305,52.0740771476661
2976,  4721 - Lieg4721,"Ulmus glabra, Bergulme",55,6,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839924222864,52.074112782058
2977,  4722 - Lieg4722,"Populus spec., Pappel",200,25,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839777989371,52.0741147340549
2978,  4723 - Lieg4723,"Populus spec., Pappel",180,26,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839640582864,52.0741435557627
2979,  4724 - Lieg4724,"Ulmus glabra, Bergulme",50,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839179485829,52.0741437070875
2980,  4725 - Lieg4725,"Ulmus glabra, Bergulme",50,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839089528425,52.074171341482
