fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
1,  34 - Lieg34,"Quercus robur, Stieleiche",190,20,18,1930,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6222316800147,52.1435785324342
2,  2747 - Lieg0,"Robinia pseudoacacia, Robinie",141,18,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6081304564754,52.1215762719383
3,  1536 - Lieg1537,"Fraxinus excelsior, Gemeine Esche",139,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5887676761681,52.0990182631182
4,  1537 - Lieg1538,"Fraxinus excelsior, Gemeine Esche",129,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5889125821983,52.0990166079906
5,  1538 - Lieg1539,"Fraxinus excelsior, Gemeine Esche",135,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5890573838648,52.0990181924775
6,  1539 - Lieg1540,"Fraxinus excelsior, Gemeine Esche",131,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5891914145677,52.0990153370953
7,  1540 - Lieg1541,"Fraxinus excelsior, Gemeine Esche",127,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5893541597945,52.0990115807171
8,  1541 - Lieg1542,"Fraxinus excelsior, Gemeine Esche",125,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5894989980974,52.0990087572585
9,  1542 - Lieg1543,"Juglans regia, Walnuss",169,9,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5895459266769,52.0990168557152
10,  1543 - Lieg1544,"Fraxinus excelsior, Gemeine Esche",84,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5896609358923,52.0990061872988
11,  1543 - Lieg1545,"Acer pseudoplatanus, Berg-Ahorn",130,12,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5897910467408,52.0990178831132
12,  1544 - Lieg1546,"Betula pendula 'Tristis', Hänge-Birke",133,16,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5899136155598,52.0990311748551
13,  1545 - Lieg1547,"Betula pendula 'Tristis', Hänge-Birke",98,16,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5900004331257,52.0990132804935
14,  1546 - Lieg1548,"Salix alba 'Tristis', Trauerweide",330,17,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5900565542068,52.0990169655571
15,  1547 - Lieg1549,"Acer pseudoplatanus, Berg-Ahorn",253,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5901809036974,52.0990265288141
16,  1548 - Lieg1550,"Betula pendula 'Tristis', Hänge-Birke",139,17,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5902463549176,52.0990189414852
17,  1549 - Lieg1551,"Fraxinus excelsior, Gemeine Esche",133,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5903898817425,52.0990136350733
18,  1550 - Lieg1552,"Salix alba, Baum-Weide - Kopf-Weide",261,20,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5905013389673,52.0990474593611
19,  1551 - Lieg1553,"Fraxinus excelsior, Gemeine Esche",135,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5905277443925,52.0990164440203
20,  1552 - Lieg1554,"Salix alba, Baum-Weide - Kopf-Weide",259,18,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906595360481,52.0990467478352
21,  1553 - Lieg1555,"Ailanthus altissima, Götterbaum",222,12,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906596258463,52.0990052438976
22,  1554 - Lieg1556,"Salix alba, Baum-Weide - Kopf-Weide",159,13,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906792136386,52.0990473825994
23,  1555 - Lieg1557,"Salix alba, Baum-Weide - Kopf-Weide",94,18,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906979069794,52.0990474212194
24,  1556 - Lieg1558,"Salix alba, Baum-Weide - Kopf-Weide",166,18,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907257516426,52.0990491471549
25,  1557 - Lieg1559,"Ailanthus altissima, Götterbaum",135,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907366179726,52.0989938275946
26,  1558 - Lieg1560,"Betula pendula, Sandbirke",55,8,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907288900548,52.0989953373063
27,  1559 - Lieg1561,"Salix alba, Baum-Weide - Kopf-Weide",126,16,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907563256213,52.0990475755688
28,  1560 - Lieg1562,"Salix alba, Baum-Weide - Kopf-Weide",148,18,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907725620059,52.099041803196
29,  1561 - Lieg1563,"Salix alba, Baum-Weide - Kopf-Weide",153,18,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907865566969,52.099042110311
30,  1562 - Lieg1564,"Salix alba, Baum-Weide - Kopf-Weide",221,22,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5908023319411,52.099038689208
31,  1563 - Lieg1565,"Fraxinus excelsior, Gemeine Esche",114,8,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5909269465991,52.0989983188257
32,  1564 - Lieg1566,"Salix alba, Baum-Weide - Kopf-Weide",484,15,14,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5910655960873,52.0990292108905
33,  1565 - Lieg1567,"Fraxinus excelsior, Gemeine Esche",135,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5912710827998,52.0990051395804
34,  1566 - Lieg1568,"Fraxinus excelsior, Gemeine Esche",145,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5914002120453,52.0989958245473
35,  1567 - Lieg1569,"Fraxinus excelsior, Gemeine Esche",132,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5915358570687,52.0989880747364
36,  1568 - Lieg1570,"Fraxinus excelsior, Gemeine Esche",121,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5916780751672,52.0989803600446
37,  845 - Lieg845,"Fraxinus excelsior, Gemeine Esche",87,15,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5971888129038,52.0856641007659
38,  826 - Lieg826,"Fraxinus excelsior, Gemeine Esche",100,15,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5971726187534,52.085659241793
39,  846 - Lieg846,"Fraxinus excelsior, Gemeine Esche",98,15,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5971577848786,52.0856652344624
40,  834 - Lieg834,"Fraxinus excelsior, Gemeine Esche",89,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5971479746524,52.0856622132258
41,  835 - Lieg835,"Fraxinus excelsior, Gemeine Esche",89,14,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5971339891591,52.085665219471
42,  836 - Lieg836,"Fraxinus excelsior, Gemeine Esche",204,15,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5969837996487,52.0856606164805
43,  837 - Lieg837,"Fraxinus excelsior, Gemeine Esche",79,14,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5969059456686,52.0856623326942
44,  838 - Lieg838,"Fraxinus excelsior, Gemeine Esche",74,14,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5968935949152,52.0856633243963
45,  839 - Lieg839,"Fraxinus excelsior, Gemeine Esche",94,15,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5968608272342,52.085659640097
46,  840 - Lieg840,"Fraxinus excelsior, Gemeine Esche",144,16,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5968049096174,52.0856570056658
47,  842 - Lieg842,"Fraxinus excelsior, Gemeine Esche",68,13,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5966661966762,52.0856564659745
48,  843 - Lieg843,"Fraxinus excelsior, Gemeine Esche",179,13,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.596647451848,52.0856579583099
49,  844 - Lieg844,"Fraxinus excelsior, Gemeine Esche",84,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5966105138041,52.0856578731649
50,  1 - Lieg1,"Prunus avium, Vogelkirsche",260,7,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5471922506003,52.0819224121685
51,  2 - Lieg2,"Acer pseudoplatanus, Berg-Ahorn",192,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5470807241525,52.081748021076
52,  3 - Lieg3,"Prunus avium, Vogelkirsche",230,8,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5469221814297,52.0816169134804
53,  4 - Lieg4,"Acer pseudoplatanus, Berg-Ahorn",250,8,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5467134661777,52.0814275364886
54,  5 - Lieg5,"Malus spec., Apfel",49,4,2.5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5466456374257,52.0813693791709
55,  6 - Lieg6,"Malus spec., Apfel",50,5,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5465835865723,52.0813075896445
56,  7 - Lieg7,"Malus spec., Apfel",50,4,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5465214207341,52.0812617201874
57,  8 - Lieg8,"Prunus avium, Vogelkirsche",48,4,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.546462160555,52.0812053560066
58,  9 - Lieg9,"Prunus avium, Vogelkirsche",260,5,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5463518990378,52.081117179803
59,  10 - Lieg10,"Prunus avium, Vogelkirsche",250,12,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5462357194646,52.0810429806357
60,  11 - Lieg11,"Prunus avium, Vogelkirsche",260,10,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5461203672504,52.0809038339938
61,  12 - Lieg12,"Prunus avium, Vogelkirsche",250,11,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5458492489167,52.0806694003132
62,  14 - Lieg14,"Acer pseudoplatanus, Berg-Ahorn",640,16,9,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5453945570253,52.0802690547998
63,  15 - Lieg15,"Prunus avium, Vogelkirsche",250,8,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5453239567993,52.0802108666936
64,  16 - Lieg16,"Prunus avium, Vogelkirsche",185,4,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5451432210255,52.0800486708342
65,  17 - Lieg17,"Prunus avium, Vogelkirsche",204,11,9,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5450159167451,52.0799481814827
66,  18 - Lieg18,"Prunus avium, Vogelkirsche",240,4,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5446855488813,52.0796624161261
67,  19 - Lieg19,"Fraxinus excelsior, Gemeine Esche",240,17,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5757843355129,52.0887687301048
68,  20 - Lieg20,"Fraxinus excelsior, Gemeine Esche",320,22,20,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5759892241951,52.0887369114794
69,  23 - Lieg23,"Prunus avium, Vogelkirsche",90,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5806627904094,52.0851580046354
70,  24 - Lieg24,"Betula pendula, Sandbirke",126,15,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5806926152763,52.0851385558073
71,  25 - Lieg25,"Betula pendula, Sandbirke",141,15,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5807404590218,52.0851277952323
72,  26 - Lieg26,"Betula pendula, Sandbirke",94,15,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5807915102129,52.0851169643728
73,  27 - Lieg27,"Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",108,6,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5811208281575,52.0850434707685
74,  30 - Lieg30,"Robinia pseudoacacia, Robinie",180,24,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5873826892684,52.0969661644383
75,  31 - Lieg31,"Robinia pseudoacacia, Robinie",170,25,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5874188648165,52.0969781401364
76,  32 - Lieg32,"Robinia pseudoacacia, Robinie",150,24,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5874967051279,52.0970061077536
77,  33 - Lieg33,"Robinia pseudoacacia, Robinie",170,18,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5875226779205,52.0970158793627
78,  36 - Lieg36,"Robinia pseudoacacia, Robinie",165,18,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5876195161442,52.097066811614
79,  37 - Lieg37,"Robinia pseudoacacia, Robinie",360,17,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5876796033441,52.0970756540851
80,  39 - Lieg39,"Robinia pseudoacacia, Robinie",300,24,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5877853590913,52.0971191959024
81,  40 - Lieg40,"Robinia pseudoacacia, Robinie",220,24,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5877971646172,52.0971389911186
82,  41 - Lieg41,"Robinia pseudoacacia, Robinie",95,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5878351380497,52.0971416643555
83,  42 - Lieg42,"Robinia pseudoacacia, Robinie",310,25,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5878571061142,52.0971478367004
84,  43 - Lieg43,"Robinia pseudoacacia, Robinie",194,24,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5878950523141,52.0971651691958
85,  44 - Lieg44,"Robinia pseudoacacia, Robinie",115,12,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5879610506086,52.0971802667575
86,  45 - Lieg45,"Robinia pseudoacacia, Robinie",200,24,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5879809150426,52.0971803700092
87,  46 - Lieg46,"Robinia pseudoacacia, Robinie",155,25,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5880170497094,52.0971865908687
88,  49 - Lieg49,"Robinia pseudoacacia, Robinie",95,9,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5881384704394,52.0972585660544
89,  52 - Lieg52,"Robinia pseudoacacia, Robinie",110,16,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5882365315532,52.0972700813614
90,  53 - Lieg53,"Robinia pseudoacacia, Robinie",155,16,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5882765304343,52.097282512393
91,  54 - Lieg54,"Robinia pseudoacacia, Robinie",160,18,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.588294409921,52.0972912026003
92,  55 - Lieg55,"Juglans regia, Walnuss",195,8,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5839360254567,52.0956541769563
93,  63 - Lieg63,"Sorbus aucuparia, Eberesche (Vogelbeere)",35,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5980063457954,52.1010386690142
94,  65 - Lieg65,"Picea abies, Gemeine Fichte - Rot-Fichte",80,15,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6019760787215,52.0947383373685
95,  66 - Lieg66,"Picea abies, Gemeine Fichte - Rot-Fichte",80,14,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.601966408498,52.0946976324096
96,  67 - Lieg67,"Fraxinus excelsior, Gemeine Esche",150,7,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6017522831261,52.0946787992787
97,  68 - Lieg68,"Picea abies, Gemeine Fichte - Rot-Fichte",60,9,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6011555017151,52.0947835261082
98,  69 - Lieg69,"Juglans regia, Walnuss",135,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.601006555916,52.0946979628012
99,  71 - Lieg71,"Juglans regia, Walnuss",70,6,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6004726458892,52.0940237564228
100,  72 - Lieg72,"Juglans regia, Walnuss",80,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6007766614927,52.0938385330275
101,  73 - Lieg73,"Juglans regia, Walnuss",115,14,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.601179402683,52.0934204565893
102,  78 - Lieg78,"Carpinus betulus, Hainbuche",65,7,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5675647414235,52.1169951102386
103,  79 - Lieg79,"Acer platanoides, Spitz-Ahorn",240,12,9,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5675831473032,52.1172314048418
104,  82 - Lieg82,"Juglans regia, Walnuss",210,10,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5676526022988,52.1194074550576
105,  83 - Lieg83,"Prunus cerasus, Sauerkirsche - Weichsel",112,6,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5676765072959,52.1201484064047
106,  84 - Lieg84,"Prunus cerasus, Sauerkirsche - Weichsel",235,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5676808200961,52.1204749378862
107,  92 - Lieg92,"Taxus baccata, Gemeine Eibe",150,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5745103412649,52.1229315670889
108,  93 - Lieg93,"Picea spec., Fichte",95,22,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.574510736619,52.1228902805813
109,  94 - Lieg94,"Picea spec., Fichte",125,22,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5744911686517,52.1228600419316
110,  95 - Lieg95,"Pinus nigra, Schwarzkiefer",130,14,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5745617720536,52.1226706357385
111,  96 - Lieg96,"Pinus spec., Kiefer",105,16,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5745328390011,52.1226705483813
112,  98 - Lieg98,"Picea pungens 'Glauca', Blau-Fichte",65,13,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5605518397058,52.1225937580545
113,  99 - Lieg99,"Acer platanoides, Spitz-Ahorn",75,12,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5605497204581,52.122475276671
114,  100 - Lieg100,"Acer platanoides, Spitz-Ahorn",100,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5605399009252,52.1224620005597
115,  101 - Lieg101,"Acer platanoides, Spitz-Ahorn",133,12,9,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5605355367678,52.1224113749938
116,  104 - Lieg104,"Juglans regia, Walnuss",170,10,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5602752341333,52.1220962509366
117,  105 - Lieg105,"Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",185,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.560310537632,52.1221998024818
118,  107 - Lieg107,"Salix 'Tortuosa', Dauerwellen-Weide - Korkenzieher-Weide",63,9,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5603162941047,52.1224556175244
119,  111 - Lieg111,"Acer negundo, Eschenahorn",270,15,12,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5660838785696,52.1280723878141
120,  120 - Lieg120,"Salix alba, Baum-Weide - Kopf-Weide",530,17,13,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5764778785549,52.112847386445
121,  121 - Lieg121,"Acer platanoides, Spitz-Ahorn",62,12,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5763792576273,52.1128303339553
122,  122 - Lieg122,"Juglans regia, Walnuss",130,8,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5767286371843,52.1125920237681
123,  123 - Lieg123,"Juglans regia, Walnuss",55,6,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5769952769247,52.1122209864466
124,  124 - Lieg124,"Juglans regia, Walnuss",200,12,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5771067678755,52.1122520921275
125,  127 - Lieg127,"Populus nigra 'Italica', Italienische Pyramiden-Pappel",400,19,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5772022077678,52.1144403439116
126,  128 - Lieg128,"Populus nigra 'Italica', Italienische Pyramiden-Pappel",75,15,1.5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5772116411215,52.1144316841642
127,  129 - Lieg129,"Juglans regia, Walnuss",132,9,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.577635158393,52.1144274568945
128,  130 - Lieg130,"Juglans regia, Walnuss",90,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.577908761942,52.1143415237884
129,  131 - Lieg131,"Juglans regia, Walnuss",135,8,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5779043762879,52.1143009712966
130,  132 - Lieg132,"Juglans regia, Walnuss",115,8,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5782600373511,52.1140803253983
131,  133 - Lieg133,"Populus nigra 'Italica', Italienische Pyramiden-Pappel",380,23,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5789348988564,52.1137717558207
132,  134 - Lieg134,"Acer pseudoplatanus, Berg-Ahorn",63,9,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5788394107469,52.1138292029503
133,  135 - Lieg135,"Populus canadensis Hybride, Schwarzpappel-Hybride",280,14,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5781896895321,52.113883889865
134,  136 - Lieg136,"Populus canadensis Hybride, Schwarzpappel-Hybride",180,15,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5779820798987,52.1138915752733
135,  137 - Lieg137,"Populus canadensis Hybride, Schwarzpappel-Hybride",150,14,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5778806727907,52.1141028223268
136,  138 - Lieg138,"Acer pseudoplatanus, Berg-Ahorn",155,11,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5779255107488,52.1141277735427
137,  142 - Lieg142,"Juglans regia, Walnuss",49,7,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5778200299042,52.1141834791457
138,  143 - Lieg143,"Acer pseudoplatanus, Berg-Ahorn",53,8,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868777893041,52.1133290682119
139,  144 - Lieg144,"Acer pseudoplatanus, Berg-Ahorn",180,14,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868676293796,52.1133354874523
140,  145 - Lieg145,"Acer pseudoplatanus, Berg-Ahorn",60,11,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868549017916,52.1133371697725
141,  146 - Lieg146,"Acer pseudoplatanus, Berg-Ahorn",95,15,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868435887883,52.1133330115378
142,  147 - Lieg147,"Acer pseudoplatanus, Berg-Ahorn",70,14,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868367565771,52.1133340878056
143,  148 - Lieg148,"Acer pseudoplatanus, Berg-Ahorn",50,11,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868249874085,52.1133328982911
144,  149 - Lieg149,"Acer pseudoplatanus, Berg-Ahorn",60,14,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5868003427095,52.1133386552619
145,  151 - Lieg151,"Acer pseudoplatanus, Berg-Ahorn",58,13,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5867286927738,52.1133444188774
146,  152 - Lieg152,"Acer pseudoplatanus, Berg-Ahorn",60,12,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5867226358464,52.1133508109884
147,  153 - Lieg153,"Acer pseudoplatanus, Berg-Ahorn",70,16,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5866884650444,52.1133542589998
148,  154 - Lieg154,"Acer pseudoplatanus, Berg-Ahorn",74,16,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5866799950146,52.1133525294124
149,  155 - Lieg155,"Acer pseudoplatanus, Berg-Ahorn",60,13,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5866596597674,52.1133514829526
150,  157 - Lieg157,"Acer pseudoplatanus, Berg-Ahorn",136,14,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.586430423952,52.1133791142086
151,  159 - Lieg159,"Acer pseudoplatanus, Berg-Ahorn",70,13,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5860604811191,52.1134141227381
152,  160 - Lieg160,"Fraxinus excelsior, Gemeine Esche",75,15,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.586049409767,52.1134254900904
153,  161 - Lieg161,"Acer pseudoplatanus, Berg-Ahorn",53,13,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5860207726527,52.1134190590254
154,  162 - Lieg162,"Fraxinus excelsior, Gemeine Esche",41,10,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5859715760903,52.113426883442
155,  163 - Lieg163,"Populus tremula, Zitterpappel",65,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5859422558414,52.1134396854583
156,  164 - Lieg164,"Populus tremula, Zitterpappel",78,13,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5859369835914,52.1134263295965
157,  165 - Lieg165,"Populus canadensis Hybride, Schwarzpappel-Hybride",92,15,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5859082539508,52.113436465699
158,  178 - Lieg178,"Acer pseudoplatanus, Berg-Ahorn",60,11,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5854892813126,52.1134786636226
159,  180 - Lieg180,"Fraxinus excelsior, Gemeine Esche",232,20,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5853893248564,52.1134895170306
160,  181 - Lieg181,"Fraxinus excelsior, Gemeine Esche",69,13,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5853556849752,52.1134953271648
161,  182 - Lieg182,"Acer pseudoplatanus, Berg-Ahorn",185,18,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5853530040207,52.1134853497629
162,  183 - Lieg183,"Fraxinus excelsior, Gemeine Esche",74,10,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5853201091963,52.1134911615265
163,  184 - Lieg184,"Fraxinus excelsior, Gemeine Esche",145,18,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5852074273339,52.1135055044826
164,  185 - Lieg185,"Acer pseudoplatanus, Berg-Ahorn",145,16,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5851538856094,52.113518262133
165,  186 - Lieg186,"Fraxinus excelsior, Gemeine Esche",304,16,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.585052816882,52.1135230243948
166,  188 - Lieg188,"Acer pseudoplatanus, Berg-Ahorn",80,13,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5850367188252,52.11352755031
